County,Democratic,Republican,Green,Constitution,Libertarian,Unaffiliated,White,Black,American Indian ,Other,Hispanic,Male,Female,Total
TRANSYLVANIA,"6,745","8,479",1,1,127,"10,999","24,106",937,51,"1,258",196,"12,004","13,661","26,352"
TYRRELL,"1,360",357,0,0,8,701,"1,519",793,8,106,34,"1,125","1,278","2,426"
UNION,"40,392","65,387",19,18,757,"52,774","124,028","19,385",425,"15,509","5,977","73,646","81,558","159,347"
VANCE,"19,763","4,429",3,5,69,"6,098","12,797","15,975",56,"1,539",503,"13,257","16,482","30,367"
WAKE,"275,965","189,623",128,93,"5,124","275,011","485,824","145,417","1,904","112,799","25,764","331,149","378,675","745,944"
WARREN,"9,207","1,873",2,0,38,"2,527","5,455","7,142",585,465,64,"6,177","7,267","13,647"
WASHINGTON,"5,870","1,154",0,0,27,"1,783","4,011","4,449",9,365,51,"3,893","4,829","8,834"
WATAUGA,"12,534","14,276",8,5,547,"20,207","43,585","1,055",78,"2,859","1,160","21,956","24,855","47,577"
WAYNE,"32,256","24,261",8,10,333,"19,206","43,674","25,667",152,"6,581","2,262","33,341","40,087","76,074"
WILKES,"9,673","22,261",3,0,140,"11,133","40,079","1,740",45,"1,346",691,"20,089","22,422","43,210"
WILSON,"29,379","13,680",3,9,175,"13,715","29,076","23,804",97,"3,984","1,244","24,810","30,826","56,961"
YADKIN,"3,994","13,451",5,1,84,"6,791","22,406",765,30,"1,125",677,"11,400","12,520","24,326"
YANCEY,"5,118","5,040",2,2,55,"4,152","13,793",85,23,468,81,"6,712","7,387","14,369"
Totals,"2,698,155","2,127,161","1,021",879,"38,352","2,275,230","4,874,528","1,565,761","58,611","641,898","200,714","3,180,414","3,746,911","7,140,798"
